,id,reading_time,flesch_reading_score,dale_chall_readability_score,total_paragraphs,avg_sentences_per_para,len_of_longest_paragraph,total_sentences,avg_words_per_sentence,len_of_longest_sentence,total_words,compulsive_hedgers,intensifiers,and_frequency,vague_words_count
5233,0804.1593v1,299.33,65.15,1.4,1181,4.14,69,4893,12.24,266,59866,278,54,2.11 %,382
5234,1305.3563v1,30.95,48.23,6.6,165,3.04,44,501,12.36,64,6190,5,3,2.0 %,31
5235,1305.6305v1,27.55,63.43,6.0,260,2.17,40,565,9.75,49,5510,16,3,2.9 %,10
5236,1305.4830v1,24.945,65.05,5.8,147,3.05,57,448,11.14,67,4989,25,0,2.12 %,9
5237,1305.2992v2,89.475,48.1,2.6,638,3.76,108,2398,7.46,105,17895,47,1,1.87 %,55
5238,0804.1901v1,26.845,49.89,6.5,65,4.12,25,268,20.03,70,5369,6,2,3.18 %,5
5239,0804.3234v1,37.5,44.88,6.8,136,3.96,36,539,13.91,65,7500,20,12,2.37 %,48
5240,1305.0676v2,16.47,55.58,6.7,110,2.82,25,310,10.63,71,3294,2,0,2.06 %,11
5241,0804.2686v2,21.33,67.08,6.6,206,2.7,57,556,7.67,56,4266,5,4,1.9 %,23
5242,1305.5853v2,42.24,52.63,6.2,433,1.79,28,777,10.87,72,8448,49,4,2.32 %,29
5243,0804.1142v1,28.96,66.27,6.1,133,4.5,132,598,9.69,64,5792,14,9,2.57 %,15
5244,0804.4724v1,10.17,73.41,6.2,135,1.79,27,241,8.44,41,2034,1,3,3.05 %,6
5245,0804.0944v1,31.295,67.32,5.9,328,2.29,30,751,8.33,111,6259,21,1,2.16 %,11
5246,0804.2271v1,17.06,51.58,6.8,39,6.33,51,247,13.81,77,3412,21,1,2.64 %,16
5247,1305.1633v2,139.905,60.89,1.9,1473,1.97,66,2898,9.66,62,27981,80,2,2.48 %,64
5248,1305.6323v2,70.95,50.91,6.2,385,2.75,85,1059,13.4,123,14190,32,15,2.18 %,151
5249,1305.0281v1,36.08,44.17,6.6,90,4.59,21,413,17.47,68,7216,15,6,2.11 %,78
5250,0804.0107v1,18.365,63.06,6.6,429,1.38,23,592,6.2,56,3673,5,5,2.7 %,18
5251,1305.5036v1,29.535,50.13,7.0,248,1.85,14,459,12.87,84,5907,7,3,2.95 %,59
5252,1305.0650v1,18.0,66.98,6.4,175,2.65,99,463,7.78,73,3600,2,0,2.61 %,23
5253,1305.2526v1,32.64,66.67,6.2,335,2.55,79,855,7.64,55,6528,10,4,2.05 %,26
5254,1305.7340v1,33.765,60.69,6.2,310,2.23,65,691,9.77,156,6753,12,10,2.35 %,38
5255,1305.5875v1,11.685,63.49,6.3,136,2.23,38,303,7.71,39,2337,4,4,2.44 %,7
5256,0804.4702v2,46.46,66.67,1.8,163,4.36,32,710,13.09,77,9292,23,2,2.88 %,44
5257,0804.1164v2,30.61,58.45,6.2,83,4.42,30,367,16.68,118,6122,43,3,3.28 %,18
5258,1305.4010v2,49.035,52.87,6.3,450,2.78,103,1251,7.84,89,9807,10,1,2.49 %,96
5259,1305.1676v2,22.69,72.39,5.8,57,5.04,29,287,15.81,165,4538,56,1,2.2 %,29
5260,0804.2234v1,56.19,51.72,5.9,236,6.42,706,1516,7.41,81,11238,29,2,2.8 %,36
5261,0804.0901v1,10.63,79.3,5.5,47,5.6,40,263,8.08,65,2126,10,0,2.49 %,2
5262,0804.0142v1,8.35,67.08,6.2,49,3.86,60,189,8.84,50,1670,6,0,2.69 %,16
5263,0804.1319v3,27.515,55.68,6.3,82,4.65,71,381,14.44,139,5503,13,8,2.04 %,33
5264,0804.3686v2,8.535,58.01,6.6,38,4.0,40,152,11.23,41,1707,13,1,3.4 %,28
5265,1305.6366v2,18.685,64.75,6.1,135,2.76,76,372,10.05,59,3737,11,1,2.44 %,16
5266,1305.0615v1,21.92,64.54,6.8,219,2.07,24,454,9.66,63,4384,13,1,1.78 %,34
5267,1305.5073v1,56.23,65.76,6.0,607,2.39,78,1451,7.75,73,11246,23,13,2.74 %,55
5268,0804.0593v1,26.005,55.47,6.3,167,2.85,70,476,10.93,56,5201,7,2,2.52 %,31
5269,0804.2310v5,31.025,63.66,6.1,327,2.07,52,676,9.18,78,6205,18,0,2.68 %,51
5270,0804.1962v2,36.87,60.35,6.7,418,1.73,47,724,10.19,68,7374,22,5,2.43 %,17
5271,0804.3257v2,16.62,61.5,6.5,138,2.38,37,329,10.1,66,3324,17,8,2.65 %,15
5272,0804.1121v2,27.08,59.87,6.3,284,2.07,48,589,9.2,50,5416,23,3,2.49 %,22
5273,1305.5830v1,41.375,53.68,6.5,569,1.56,23,888,9.32,142,8275,20,13,2.1 %,53
5274,1305.7305v1,18.42,62.82,1.9,67,4.43,35,297,12.4,91,3684,11,0,3.56 %,6
5275,1305.2563v1,35.745,61.94,6.4,462,1.78,57,824,8.68,134,7149,2,1,2.21 %,26
5276,0804.4829v2,23.16,53.69,7.4,459,1.34,23,614,7.54,65,4632,10,0,1.9 %,7
5277,1305.0138v1,8.035,48.23,7.1,39,3.56,39,139,11.56,61,1607,4,0,2.86 %,10
5278,1305.7428v1,21.03,62.41,6.9,105,3.32,17,349,12.05,75,4206,9,11,3.0 %,13
5279,1305.3015v3,74.97,80.65,1.8,574,2.64,84,1514,9.9,120,14994,141,2,2.75 %,32
5280,0804.2519v1,15.89,65.56,6.1,134,2.28,28,306,10.39,67,3178,8,0,3.46 %,14
5281,1305.1918v2,67.865,69.38,2.5,1200,1.5,53,1794,7.57,126,13573,64,0,2.24 %,125
5282,1305.4540v3,15.475,60.75,6.8,55,4.96,44,273,11.34,47,3095,11,4,2.58 %,7
5283,0804.1298v2,14.75,34.19,7.5,177,1.57,28,278,10.61,74,2950,3,0,1.66 %,21
5284,0804.3707v3,16.265,60.48,6.8,138,2.0,15,276,11.79,53,3253,4,1,1.84 %,21
5285,1305.4778v2,42.45,65.9,2.2,441,2.06,67,909,9.34,70,8490,28,2,3.19 %,74
5286,1305.3268v2,32.905,59.77,6.0,205,2.8,57,575,11.45,64,6581,27,2,2.14 %,29
5287,0804.3519v1,32.2,74.02,5.6,418,1.87,57,780,8.26,67,6440,23,10,2.78 %,17
5288,0804.3605v4,17.325,57.61,6.7,48,5.27,83,253,13.7,78,3465,19,0,1.79 %,16
5289,0804.1573v4,30.855,74.22,5.8,212,2.99,48,633,9.75,86,6171,40,0,2.32 %,19
5290,0804.4009v1,22.345,57.0,6.8,379,1.56,20,591,7.56,54,4469,7,4,2.1 %,14
5291,1305.1138v1,22.365,57.1,6.5,26,11.62,43,302,14.81,113,4473,18,15,3.11 %,18
5292,0804.2393v3,283.02,54.46,1.5,1123,4.52,117,5072,11.16,81,56604,96,35,3.19 %,377
5293,1305.6428v1,60.36,64.17,2.2,330,3.54,83,1167,10.34,149,12072,30,1,2.82 %,14
5294,0804.0298v2,21.94,63.13,3.0,556,1.33,39,741,5.92,72,4388,18,0,1.64 %,5
5295,0804.4781v4,16.86,68.7,6.1,227,2.13,49,484,6.97,46,3372,6,2,2.67 %,5
5296,1305.6771v4,17.98,52.02,6.9,121,2.63,20,318,11.31,49,3596,2,2,2.17 %,41
5297,1305.2050v3,36.905,57.03,6.8,667,1.57,30,1048,7.04,279,7381,7,2,2.99 %,26
5298,0804.4719v1,19.98,58.11,6.0,116,3.86,68,448,8.92,66,3996,13,1,2.8 %,21
5299,0804.3209v1,23.09,64.85,6.0,128,3.24,32,415,11.13,46,4618,25,1,2.3 %,65
5300,1305.6338v1,33.44,64.95,6.3,264,2.52,51,665,10.06,61,6688,10,4,2.51 %,15
5301,1305.1628v1,34.495,56.18,6.2,150,3.35,34,503,13.72,148,6899,14,0,2.45 %,22
5302,1305.3989v1,8.65,64.64,6.5,103,1.9,36,196,8.83,45,1730,3,0,1.97 %,16
5303,0804.1979v1,2.55,63.22,7.5,8,5.38,20,43,11.86,55,510,0,0,2.35 %,5
5304,1305.5068v2,27.3,62.51,6.4,468,1.72,17,807,6.77,82,5460,10,4,3.74 %,55
5305,1305.4848v1,31.28,55.2,6.5,535,1.68,61,897,6.97,51,6256,24,4,2.41 %,53
5306,1305.6061v4,79.3,63.26,2.4,809,1.88,70,1519,10.44,97,15860,43,3,2.21 %,105
5307,1305.2740v3,59.745,49.22,2.6,932,1.68,50,1568,7.62,80,11949,17,0,2.74 %,67
5308,1305.7338v1,56.885,70.36,6.2,578,2.28,90,1316,8.65,162,11377,28,1,2.16 %,44
5309,1305.0628v1,26.195,66.3,5.9,233,2.12,53,494,10.61,92,5239,44,1,3.05 %,26
5310,0804.2209v1,34.73,48.67,6.2,121,3.56,46,431,16.12,88,6946,35,1,2.12 %,25
5311,1305.5848v1,21.225,55.27,6.7,153,2.6,50,398,10.67,82,4245,17,3,2.61 %,35
5312,1305.6965v3,54.02,61.8,6.0,452,2.47,80,1118,9.66,79,10804,21,6,3.22 %,68
5313,1305.2989v1,26.76,69.62,5.5,83,5.72,48,475,11.27,58,5352,26,1,1.79 %,12
5314,1305.3578v2,38.45,65.9,6.5,353,2.21,93,780,9.86,119,7690,14,2,2.55 %,74
5315,0804.3017v3,14.47,60.04,6.3,29,7.1,36,206,14.05,55,2894,7,10,2.32 %,17
5316,0804.0979v1,24.93,46.54,7.0,176,2.35,48,414,12.04,67,4986,31,5,2.15 %,33
5317,1305.6433v2,17.985,61.4,7.0,127,2.47,48,314,11.46,73,3597,10,2,2.11 %,20
5318,0804.0617v1,16.165,69.62,6.6,76,4.14,83,315,10.26,81,3233,9,6,2.35 %,20
5319,1305.0591v1,45.365,61.09,6.1,623,1.67,30,1042,8.71,72,9073,31,12,2.87 %,38
5320,0804.2561v1,92.675,63.32,1.9,819,2.29,99,1875,9.89,76,18535,117,9,2.52 %,299
5321,1305.7081v1,19.485,65.56,6.4,154,2.77,98,427,9.13,75,3897,3,0,2.16 %,20
5322,1305.0903v1,18.97,58.86,6.7,203,1.82,23,369,10.28,78,3794,16,5,2.32 %,15
5323,1305.7450v1,39.39,60.55,6.3,207,4.14,111,858,9.18,69,7878,23,8,2.41 %,48
5324,1305.2236v1,38.67,38.59,7.3,356,2.14,81,762,10.15,114,7734,35,4,2.33 %,67
5325,1305.4394v2,20.915,74.87,6.0,489,1.38,56,677,6.18,69,4183,10,0,3.06 %,25
5326,0804.4012v2,25.75,58.01,5.8,87,5.26,77,458,11.24,63,5150,27,3,1.83 %,15
5327,1305.0140v1,16.165,57.71,6.7,34,6.68,30,227,14.24,43,3233,17,1,2.1 %,2
5328,1305.5726v1,34.63,39.14,4.0,642,1.26,49,811,8.54,82,6926,14,1,1.78 %,31
5329,0804.0652v1,18.355,58.01,6.1,76,3.96,60,301,12.2,65,3671,3,2,2.62 %,33
5330,1305.6476v2,24.635,71.41,6.4,645,1.31,24,843,5.84,93,4927,7,9,2.68 %,25
5331,0804.3196v2,61.18,61.5,6.2,231,3.71,76,858,14.26,68,12236,33,11,1.99 %,83
5332,1305.4700v2,42.16,72.29,5.7,399,2.54,41,1012,8.33,87,8432,10,0,2.38 %,29
5333,0804.2524v1,21.59,57.37,2.6,339,1.49,20,506,8.53,104,4318,12,0,2.36 %,31
5334,1305.2273v1,112.955,59.26,5.9,321,4.82,41,1548,14.59,129,22591,111,14,2.31 %,118
5335,1305.7415v1,32.215,56.52,6.5,238,2.25,46,536,12.02,78,6443,10,5,2.11 %,20
5336,1305.0946v1,6.87,53.44,7.5,31,2.81,11,87,15.79,44,1374,1,0,3.06 %,12
5337,0804.0283v1,21.515,61.09,5.8,50,5.26,29,263,16.36,60,4303,14,2,2.74 %,7
5338,1305.5763v1,30.285,67.52,6.4,333,2.03,27,675,8.97,67,6057,11,7,2.33 %,34
5339,1305.0105v1,34.46,51.69,6.9,645,1.46,20,944,7.3,63,6892,15,3,2.67 %,112
5340,1305.4538v3,16.375,57.5,6.3,138,2.81,36,388,8.44,59,3275,5,0,2.41 %,20
5341,1305.5394v2,15.88,65.56,5.7,105,3.67,23,385,8.25,57,3176,12,0,2.05 %,22
5342,1305.3236v1,87.65,65.69,2.3,1108,1.78,32,1969,8.9,64,17530,35,24,3.09 %,47
5343,1305.6450v1,64.625,65.43,2.6,905,1.61,67,1461,8.85,143,12925,84,0,1.63 %,97
5344,1305.1903v1,27.095,54.36,6.3,149,3.07,48,458,11.83,76,5419,23,1,2.82 %,22
5345,1305.4726v1,44.21,68.54,5.8,527,2.11,42,1113,7.94,182,8842,27,0,1.69 %,22
5346,1305.1140v1,15.69,71.34,6.2,145,2.42,31,351,8.94,51,3138,14,6,1.98 %,19
5347,0804.1617v1,21.7,46.74,6.7,99,2.7,34,267,16.25,157,4340,19,1,2.93 %,74
5348,0804.4071v1,12.87,58.05,7.2,234,1.58,13,369,6.98,50,2574,7,1,1.71 %,16
5349,1305.1591v1,13.33,77.84,6.4,260,1.65,68,428,6.23,43,2666,3,1,3.0 %,17
5350,0804.2990v2,11.455,75.44,6.2,85,3.15,56,268,8.55,72,2291,0,0,2.75 %,26
5351,1305.1064v5,36.34,50.7,6.3,255,2.15,36,548,13.26,68,7268,33,5,2.02 %,19
5352,0804.4832v1,34.37,51.14,6.8,49,6.78,70,332,20.7,89,6874,10,4,2.05 %,28
5353,0804.3561v1,74.165,71.28,1.8,826,2.04,38,1686,8.8,95,14833,53,3,2.7 %,66
5354,1305.6081v1,14.565,61.7,6.9,79,2.75,19,217,13.42,54,2913,4,1,2.85 %,14
5355,1305.1946v1,76.475,33.07,6.6,226,4.12,34,932,16.41,83,15295,37,8,2.35 %,251
5356,1305.6415v1,48.68,58.92,6.0,248,3.6,116,892,10.91,58,9736,26,14,3.01 %,55
5357,1305.3273v1,17.405,46.85,7.1,40,5.97,42,239,14.56,64,3481,31,3,1.92 %,22
5358,0804.1283v1,18.145,57.2,6.7,121,2.79,26,338,10.74,65,3629,1,1,2.31 %,35
5359,1305.1105v1,55.055,66.37,6.0,174,4.68,37,814,13.53,66,11011,31,21,1.89 %,30
5360,1305.4763v1,30.48,49.38,6.5,349,1.6,19,558,10.92,55,6096,11,5,3.12 %,86
5361,0804.0409v3,31.935,66.17,5.9,150,3.93,60,590,10.83,64,6387,28,8,2.25 %,23
5362,0804.2196v2,60.875,62.85,6.2,810,1.67,162,1351,9.01,71,12175,14,1,2.69 %,64
5363,0804.4034v1,13.955,64.04,6.6,188,2.1,79,394,7.08,74,2791,5,2,2.19 %,13
5364,0804.1652v1,48.315,58.35,6.0,255,2.6,34,662,14.6,116,9663,11,6,2.59 %,22
5365,1305.6887v1,15.715,63.39,6.7,53,6.21,49,329,9.55,49,3143,0,1,2.13 %,7
5366,0804.3524v1,16.48,57.2,6.8,135,2.74,68,370,8.91,81,3296,3,3,2.85 %,7
5367,0804.4877v1,38.855,43.06,6.4,74,6.15,24,455,17.08,72,7771,24,4,1.35 %,60
5368,1305.5700v2,38.45,64.38,6.2,400,2.35,83,939,8.19,66,7690,16,3,2.38 %,39
5369,1305.0166v2,45.985,80.55,5.8,851,1.61,114,1371,6.71,77,9197,42,10,3.28 %,28
5370,1305.5114v3,83.87,66.51,2.1,710,2.41,70,1710,9.81,139,16774,129,2,2.5 %,78
5371,1305.1529v1,11.88,82.99,5.7,60,3.57,22,214,11.1,77,2376,5,0,1.77 %,3
5372,1305.3543v4,111.445,55.17,1.9,471,4.4,90,2071,10.76,92,22289,91,2,3.09 %,90
5373,1305.6039v1,28.645,63.12,6.4,501,1.63,28,818,7.0,110,5729,22,0,3.23 %,15
5374,0804.0101v7,213.32,64.75,1.4,484,8.72,294,4220,10.11,128,42664,141,1,2.8 %,75
5375,0804.3108v1,28.57,54.76,6.5,78,4.03,23,314,18.2,74,5714,16,6,1.65 %,21
5376,0804.0866v3,15.94,57.4,6.8,42,5.88,51,247,12.91,64,3188,6,5,3.2 %,12
5377,1305.2896v3,31.475,68.23,6.1,274,2.27,88,622,10.12,74,6295,12,1,1.68 %,20
5378,0804.4418v1,15.905,58.89,6.9,174,1.76,38,307,10.36,66,3181,7,0,1.79 %,36
5379,1305.4016v4,20.695,61.74,2.4,495,1.36,17,675,6.13,42,4139,2,0,1.86 %,3
5380,1305.7227v3,28.135,50.6,6.3,220,2.98,40,656,8.58,57,5627,21,1,2.84 %,78
5381,0804.0144v7,10.445,71.75,6.6,413,1.31,24,541,3.86,48,2089,2,3,1.72 %,5
5382,1305.4855v4,30.01,46.51,6.9,196,2.44,57,479,12.53,59,6002,23,10,2.2 %,74
5383,1305.3506v4,94.61,40.38,6.3,702,2.59,49,1817,10.41,98,18922,61,7,2.59 %,143
5384,0804.2316v3,24.35,55.78,7.0,130,3.18,104,414,11.76,94,4870,11,4,2.32 %,8
5385,0804.0689v2,10.88,60.95,6.7,37,5.3,25,196,11.1,48,2176,4,1,3.17 %,2
5386,1305.2679v2,30.535,64.54,5.8,70,6.31,64,442,13.82,87,6107,58,0,1.83 %,5
5387,1305.6819v2,6.915,57.17,7.2,114,1.61,45,184,7.52,85,1383,0,1,1.81 %,5
5388,0804.2108v1,12.335,61.4,6.6,129,2.24,60,289,8.54,48,2467,2,2,2.43 %,17
5389,0804.4643v3,28.095,66.07,6.1,297,2.45,135,728,7.72,54,5619,19,5,2.22 %,20
5390,1305.0529v1,14.3,66.57,5.7,31,7.71,48,239,11.97,74,2860,7,0,1.92 %,5
5391,1305.4114v3,31.81,57.2,6.4,242,2.85,65,689,9.23,59,6362,2,1,3.29 %,65
5392,0804.3782v3,29.915,64.64,6.0,282,2.29,60,646,9.26,74,5983,12,1,2.86 %,38
5393,1305.7039v1,20.935,62.31,6.2,183,2.38,33,436,9.6,49,4187,7,1,2.75 %,68
5394,1305.4369v2,36.205,55.1,6.5,514,1.48,23,760,9.53,79,7241,20,4,2.9 %,43
5395,0804.1060v3,21.505,43.77,6.8,162,2.98,46,482,8.92,60,4301,26,0,1.56 %,16
5396,1305.2994v4,61.14,64.14,5.8,115,7.7,98,886,13.8,121,12228,50,2,2.8 %,42
5397,0804.2680v4,7.83,52.23,6.8,111,2.32,29,257,6.09,46,1566,6,1,2.49 %,2
5398,1305.5855v4,26.39,58.82,6.2,177,2.69,34,477,11.06,50,5278,12,7,2.58 %,27
5399,1305.2974v1,49.14,59.47,6.0,549,2.1,52,1152,8.53,123,9828,1,4,2.84 %,72
5400,1305.0241v1,22.16,78.18,2.7,778,1.38,42,1070,4.14,68,4432,25,1,1.58 %,47
5401,1305.5427v1,14.335,75.74,1.8,70,3.5,19,245,11.7,67,2867,4,0,2.86 %,13
5402,0804.3603v2,14.995,60.48,6.9,86,2.99,54,257,11.67,65,2999,7,1,2.0 %,25
5403,1305.3585v2,67.83,57.44,6.2,313,3.42,92,1070,12.68,265,13566,29,6,2.2 %,81
5404,0804.1575v2,28.305,64.07,6.3,334,1.92,66,641,8.83,68,5661,10,3,2.91 %,18
5405,1305.2137v1,27.815,75.37,6.0,442,1.65,50,731,7.61,58,5563,13,2,2.28 %,43
5406,0804.0984v1,15.455,67.18,6.2,184,2.1,31,387,7.99,56,3091,9,1,1.68 %,15
5407,1305.1222v2,11.89,53.95,6.6,116,1.89,23,219,10.86,109,2378,6,0,2.1 %,6
5408,1305.7380v1,33.87,48.06,6.5,251,2.24,51,562,12.05,75,6774,11,2,2.13 %,35
5409,0804.2660v1,21.92,58.25,6.6,381,1.57,65,598,7.33,78,4384,7,6,2.14 %,19
5410,1305.0365v5,198.87,70.67,1.6,1348,2.76,132,3726,10.67,122,39774,98,1,2.0 %,52
5411,1305.0690v1,43.845,55.07,6.1,456,2.24,68,1023,8.57,70,8769,24,3,2.83 %,77
5412,0804.0516v1,19.555,68.84,6.2,333,1.86,54,621,6.3,71,3911,13,0,2.45 %,11
5413,1305.5462v1,41.965,53.38,6.5,504,1.75,79,883,9.51,59,8393,12,7,2.8 %,25
5414,1305.0204v1,48.855,58.72,6.2,352,3.12,79,1098,8.9,74,9771,18,7,2.3 %,65
5415,1305.2931v1,8.62,65.49,6.9,118,1.74,39,205,8.41,61,1724,4,0,2.26 %,8
5416,0804.0182v1,185.62,61.9,2.0,1305,3.49,252,4558,8.14,168,37124,111,37,2.02 %,158
5417,1305.2172v1,11.675,62.92,6.8,67,3.12,47,209,11.17,64,2335,5,3,3.68 %,7
5418,0804.2625v1,18.0,47.22,6.6,117,2.69,55,315,11.43,53,3600,1,1,2.14 %,13
5419,1305.1267v2,25.345,49.04,6.5,126,3.84,72,484,10.47,53,5069,15,5,2.86 %,20
5420,1305.4401v2,32.12,52.73,5.8,180,4.41,45,793,8.1,59,6424,59,0,2.33 %,18
5421,0804.0553v1,11.805,79.6,6.0,107,3.05,76,326,7.24,52,2361,1,0,2.75 %,13
5422,1305.6380v1,16.925,75.95,5.9,64,3.8,25,243,13.93,98,3385,26,3,2.22 %,9
5423,0804.3660v1,10.62,66.27,6.5,51,4.08,32,208,10.21,52,2124,3,6,3.01 %,16
5424,1305.0222v2,49.37,70.36,5.8,165,4.35,61,718,13.75,88,9874,43,5,2.07 %,36
5425,1305.5444v2,94.905,68.54,2.0,386,3.58,105,1382,13.73,123,18981,66,5,2.13 %,152
5426,1305.1690v1,18.48,49.59,6.8,104,3.31,60,344,10.74,88,3696,14,4,2.08 %,57
5427,0804.1516v1,15.915,66.51,6.8,457,1.36,59,621,5.13,45,3183,15,5,2.67 %,25
5428,0804.4370v1,45.62,56.83,6.4,543,1.66,23,899,10.15,63,9124,49,11,1.61 %,72
5429,0804.2603v2,31.47,55.07,6.5,639,1.59,72,1018,6.18,50,6294,9,9,2.3 %,29
5430,1305.4427v1,18.625,58.82,6.4,89,4.01,72,357,10.43,47,3725,10,1,2.36 %,11
5431,1305.1241v1,55.96,62.01,6.0,605,2.18,74,1321,8.47,69,11192,18,7,2.45 %,42
5432,1305.3974v1,27.53,59.16,6.1,411,1.71,15,702,7.84,65,5506,22,0,2.49 %,44
5433,1305.3137v1,51.195,56.59,1.9,249,3.65,34,910,11.25,63,10239,39,0,1.83 %,26
5434,1305.6751v1,23.265,60.72,6.3,206,1.82,29,374,12.44,106,4653,6,7,1.76 %,18
5435,0804.1984v1,10.745,62.92,6.8,68,3.09,44,210,10.23,48,2149,5,0,1.63 %,13
5436,1305.0267v2,82.495,55.68,5.7,463,3.49,76,1616,10.21,87,16499,46,19,2.01 %,140
5437,0804.3625v1,9.585,56.89,7.1,263,1.39,6,366,5.24,59,1917,6,1,2.87 %,3
5438,0804.4335v1,44.69,67.8,2.9,1580,1.21,71,1910,4.68,114,8938,8,2,1.9 %,47
5439,0804.1553v1,15.83,61.43,6.7,201,1.66,20,334,9.48,62,3166,6,1,1.8 %,23
5440,1305.3931v1,20.155,53.75,6.5,143,2.75,93,393,10.26,74,4031,10,0,2.51 %,44
5441,1305.1204v1,38.71,48.43,6.1,129,5.01,33,646,11.98,73,7742,46,9,1.98 %,48
5442,1305.4462v1,26.895,56.79,6.4,268,2.08,53,558,9.64,80,5379,6,5,2.18 %,60
5443,0804.1182v1,22.2,57.0,6.2,82,4.35,34,357,12.44,97,4440,14,1,1.96 %,9
5444,1305.5893v2,24.455,50.3,6.8,122,2.52,50,307,15.93,127,4891,8,4,2.72 %,85
5445,0804.0530v2,28.18,68.84,5.9,466,1.65,33,767,7.35,91,5636,14,0,2.2 %,9
5446,1305.6714v1,37.26,55.37,6.2,219,2.82,68,617,12.08,78,7452,10,2,2.2 %,54
5447,1305.3172v1,19.355,48.17,6.9,132,2.55,49,337,11.49,68,3871,27,9,1.73 %,40
5448,1305.5252v1,118.955,60.69,2.0,990,2.49,206,2469,9.64,415,23791,83,13,2.33 %,126
5449,1305.0434v1,168.02,67.12,1.8,740,3.2,105,2367,14.2,243,33604,168,1,2.32 %,126
5450,1305.2742v1,35.56,64.14,6.1,67,7.85,47,526,13.52,97,7112,14,5,2.15 %,26
5451,1305.7124v1,16.89,65.46,6.2,152,2.35,36,357,9.46,62,3378,14,2,2.01 %,14
5452,0804.3835v2,34.015,54.09,6.7,347,1.76,50,612,11.12,142,6803,12,4,2.16 %,69
5453,0804.2015v1,52.59,71.78,1.9,601,2.0,94,1203,8.74,65,10518,51,0,2.78 %,18
5454,1305.2393v1,8.155,44.92,7.4,97,1.63,19,158,10.32,56,1631,2,0,2.02 %,4
5455,1305.4231v2,44.58,60.58,5.8,364,2.45,116,893,9.98,74,8916,29,4,2.51 %,41
5456,0804.2856v1,35.225,55.68,5.9,206,3.07,83,633,11.13,132,7045,28,7,2.38 %,41
5457,0804.0363v1,41.395,68.54,5.9,395,2.21,33,873,9.48,66,8279,11,1,1.36 %,29
5458,1305.5683v1,52.185,50.5,6.4,271,2.73,29,740,14.1,94,10437,28,11,2.12 %,83
5459,1305.0471v1,37.32,46.57,6.0,297,2.82,63,839,8.9,46,7464,24,17,2.55 %,77
5460,1305.5217v1,37.515,63.83,5.8,151,4.2,90,634,11.83,88,7503,33,1,2.07 %,26
5461,0804.4523v2,18.04,55.17,6.4,144,2.86,58,412,8.76,69,3608,23,2,1.88 %,18
5462,0804.2481v1,98.015,55.41,2.3,798,2.53,97,2018,9.71,104,19603,120,4,1.82 %,80
5463,1305.7161v1,15.36,63.73,6.6,103,3.49,57,359,8.56,50,3072,3,1,2.21 %,24
5464,1305.2707v1,29.89,46.91,7.5,187,3.26,92,610,9.8,389,5978,6,1,2.98 %,22
5465,1305.4274v2,39.385,61.5,6.2,563,1.76,38,993,7.93,63,7877,28,1,2.67 %,54
5466,1305.1412v2,7.39,62.61,6.8,34,3.71,25,126,11.73,79,1478,2,2,2.71 %,11
5467,1305.6941v2,19.045,40.92,6.8,179,1.88,22,337,11.3,76,3809,18,2,1.84 %,21
5468,0804.1794v2,57.84,60.28,6.2,477,2.29,26,1091,10.6,68,11568,14,7,2.39 %,36
5469,0804.2050v1,33.335,63.63,6.0,269,2.71,70,730,9.13,62,6667,43,5,2.26 %,201
5470,0804.0326v1,49.045,63.53,2.0,482,2.46,83,1185,8.28,89,9809,24,1,3.27 %,39
5471,0804.2813v1,15.59,50.4,6.8,129,2.37,17,306,10.19,54,3118,14,0,1.12 %,12
5472,1305.6102v2,27.775,66.47,6.2,290,2.23,50,648,8.57,62,5555,7,2,2.47 %,23
5473,1305.5231v2,49.255,55.88,6.0,117,6.38,112,746,13.21,99,9851,28,9,2.08 %,88
5474,1305.0457v2,110.5,76.83,2.2,2216,1.5,85,3326,6.64,94,22100,34,4,1.59 %,97
5475,0804.3015v1,35.445,52.57,6.7,248,2.23,36,554,12.8,101,7089,27,2,1.42 %,39
5476,1305.3393v1,9.02,70.87,5.8,78,2.03,17,158,11.42,104,1804,2,0,3.82 %,2
5477,0804.4505v1,22.655,77.91,5.8,532,1.59,37,844,5.37,55,4531,16,0,2.71 %,11
5478,0804.1363v1,50.22,51.41,6.1,155,3.52,25,545,18.43,127,10044,20,25,2.36 %,18
5479,0804.3856v1,14.47,58.42,6.4,59,4.83,62,285,10.15,64,2894,10,1,2.66 %,27
5480,1305.4683v1,30.965,72.19,2.0,42,8.17,25,343,18.06,87,6193,76,0,2.83 %,19
5481,1305.7147v2,23.355,97.31,3.6,139,2.75,25,382,12.23,99,4671,20,8,2.31 %,133
5482,1305.6967v1,17.31,56.59,6.5,200,2.06,42,411,8.42,47,3462,3,4,2.2 %,31
5483,1305.1434v1,14.54,60.79,6.8,168,1.85,32,310,9.38,53,2908,4,1,2.2 %,38
5484,1305.4252v1,18.775,59.98,6.9,246,1.86,52,458,8.2,66,3755,3,3,1.97 %,6
5485,1305.5009v3,49.785,75.37,2.0,445,2.88,43,1282,7.77,77,9957,53,3,2.87 %,68
5486,1305.0086v2,173.03,55.07,1.7,1106,2.86,87,3161,10.95,113,34606,119,7,2.02 %,83
5487,0804.0300v2,10.745,65.86,6.7,99,2.8,103,277,7.76,65,2149,1,1,2.89 %,3
